

istanze/10_rand_dataset

2	11,7357	269,05	310,203	286,857	204,65	252,929	274,127	264,662	54,6394
3	11,6988	401,684	462,998	429,79	387,172	377,171	400,765	384,638	55,6496
4	11,6638	388,964	490,385	428,669	1430,69	367,522	387,479	376,056	34,1587


istanze_line/10_line_dataset

1	0,6177	159,218	241,342	209,691	745,113	159,218	159,218	159,218	0
2	0,6138	291,641	388,131	351,725	1008,49	288,51	288,51	288,51	0
3	0,6146	311,086	376,74	335,157	266,631	261,339	261,339	261,339	0
4	0,6188	209,73	252,171	230,652	180,186	209,73	219,333	211,651	14,7545

1	1,3392	345,823	420,306	379,336	654,814	319,623	323,408	320,568	1,08911
2	1,3431	253,507	357,772	292,799	1560,07	229,684	229,684	229,684	0
3	1,3608	404,032	517,658	460,552	1085,52	367,093	367,093	367,093	0
4	1,3542	341,753	479,506	431,254	1306,56	326,201	342,197	332,436	22,5255

1	2,2217	427,316	509,183	458,317	703,772	369,053	389,53	377,942	89,8115
2	2,2196	539,556	626,256	582,668	1146,81	454,781	482,232	465,414	169,8
3	2,2025	334,058	504,101	408,725	2735,12	333,605	333,605	333,605	0
4	2,2025	382,76	448,948	408,531	441,225	318,679	342,704	328,798	75,0572

1	3,1791	418,037	510,823	463,684	586,395	401,964	425,79	408,926	81,037
2	3,1845	395,193	444,065	418,217	246,954	283,883	283,883	283,883	0
3	3,1643	236,657	306,863	276,462	590,616	217,522	217,974	217,658	0,0429958
4	3,1687	384,388	506,917	461,415	1522,09	329,906	331,722	330,588	0,53372

1	4,2639	337,199	398,456	364,536	272,971	286,163	321,849	290,014	112,719
2	4,2672	249,351	347,06	320,37	1001,12	248,204	278,331	251,422	80,826
3	4,2641	353,22	459,18	405,16	833,221	323,377	326,336	323,838	0,717776
4	4,2766	410,392	483,541	450	794,037	376,656	392,603	383,524	26,849

1	5,6418	359,942	416,925	391,2	424,105	324,177	341,765	331,383	25,5321
2	5,6774	345,605	460,257	403,388	1474,93	305,244	307,267	305,736	0,454789
3	5,6328	418,927	560,527	492,945	1450,75	380,62	389,46	383,574	6,96771
4	5,6188	402,293	544,172	473,415	1510,63	396,103	430,376	409,734	95,5685

1	6,7847	454,6	592,311	517,272	1710,18	399,93	433,738	417,856	151,056
2	6,8505	350,288	498,029	414,724	1812,23	313,276	340,584	327,108	94,059
3	6,7995	454,191	574,683	511,743	1167,18	431,462	475,194	449,937	203,068
4	6,8114	422,794	469,817	445,124	182,634	365,656	420,209	383,776	227,84

1	8,3294	426,34	504,464	461,377	456,766	345,949	362,355	353,514	25,5451
2	8,3164	398,378	589,857	506,759	3943,29	388,86	416,804	397,919	70,9097
3	8,4918	344,88	401,446	374,186	292,105	308,113	336,224	318,289	63,2716
4	8,3254	311,25	407,28	355,707	879,461	293,083	309,151	299,44	29,1546

1	9,7992	348,201	431,702	378,07	676,421	300,086	335,926	314,119	177,547
2	9,7683	503,342	625,094	548,337	1163,97	478,513	483,818	480,652	5,00489
3	9,7902	515,612	620,267	589,534	897,127	436,637	444,84	441,728	8,02826
